gender,Aimag,TIME,value
FEMALE,   Selenge,2016,648.9
FEMALE,   Selenge,2015,657.5
FEMALE,   Selenge,2014,625.0
FEMALE,   Selenge,2013,614.5
FEMALE,   Selenge,2012,501.2
FEMALE,   Selenge,2011,412.7
FEMALE,   Selenge,2010,308.8
FEMALE,   Selenge,2009,286.3
FEMALE,   Selenge,2008,288.1
FEMALE,   Selenge,2007,158.6
FEMALE,   Selenge,2006,128.8
FEMALE,   Selenge,2005,104.7
FEMALE,   Selenge,2004,74.1
FEMALE,   Selenge,2003,74.9
FEMALE,   Selenge,2002,66.3
FEMALE,   Selenge,2001,56.2
FEMALE,   Selenge,2000,57.8
FEMALE,   Selenge,1999,
FEMALE,   Selenge,1998,
FEMALE,   Selenge,1997,
FEMALE,   Selenge,1996,
FEMALE,   Selenge,1995,
FEMALE,   Tuv,2024,2032.9
FEMALE,   Tuv,2023,1466.2
FEMALE,   Tuv,2022,1118.3
FEMALE,   Tuv,2021,1003.6
FEMALE,   Tuv,2020,954.3
FEMALE,   Tuv,2019,803.2
FEMALE,   Tuv,2018,669.0
FEMALE,   Tuv,2017,657.9
FEMALE,   Tuv,2016,635.4
FEMALE,   Tuv,2015,620.6
FEMALE,   Tuv,2014,596.8
FEMALE,   Tuv,2013,573.8
FEMALE,   Tuv,2012,471.9
FEMALE,   Tuv,2011,342.4
FEMALE,   Tuv,2010,296.9
FEMALE,   Tuv,2009,262.9
FEMALE,   Tuv,2008,252.6
FEMALE,   Tuv,2007,143.8
FEMALE,   Tuv,2006,98.7
FEMALE,   Tuv,2005,77.0
FEMALE,   Tuv,2004,73.8
FEMALE,   Tuv,2003,65.0
FEMALE,   Tuv,2002,63.1
FEMALE,   Tuv,2001,50.0
FEMALE,   Tuv,2000,39.0
FEMALE,   Tuv,1999,
FEMALE,   Tuv,1998,
FEMALE,   Tuv,1997,
FEMALE,   Tuv,1996,
FEMALE,   Tuv,1995,
FEMALE,   Darkhan-Uul,2024,1886.1
FEMALE,   Darkhan-Uul,2023,1454.1
FEMALE,   Darkhan-Uul,2022,1161.8
FEMALE,   Darkhan-Uul,2021,1013.7
FEMALE,   Darkhan-Uul,2020,952.9
FEMALE,   Darkhan-Uul,2019,843.1
FEMALE,   Darkhan-Uul,2018,737.3
FEMALE,   Darkhan-Uul,2017,705.0
FEMALE,   Darkhan-Uul,2016,667.3
FEMALE,   Darkhan-Uul,2015,627.2
FEMALE,   Darkhan-Uul,2014,621.8
FEMALE,   Darkhan-Uul,2013,586.1
FEMALE,   Darkhan-Uul,2012,526.9
FEMALE,   Darkhan-Uul,2011,382.4
FEMALE,   Darkhan-Uul,2010,292.5
FEMALE,   Darkhan-Uul,2009,262.8
FEMALE,   Darkhan-Uul,2008,256.0
FEMALE,   Darkhan-Uul,2007,162.5
FEMALE,   Darkhan-Uul,2006,118.4
FEMALE,   Darkhan-Uul,2005,96.1
FEMALE,   Darkhan-Uul,2004,117.0
FEMALE,   Darkhan-Uul,2003,94.4
FEMALE,   Darkhan-Uul,2002,79.6
FEMALE,   Darkhan-Uul,2001,64.2
FEMALE,   Darkhan-Uul,2000,62.7
FEMALE,   Darkhan-Uul,1999,
FEMALE,   Darkhan-Uul,1998,
FEMALE,   Darkhan-Uul,1997,
FEMALE,   Darkhan-Uul,1996,
FEMALE,   Darkhan-Uul,1995,
FEMALE,   Govisumber,2024,2219.4
FEMALE,   Govisumber,2023,1670.2
FEMALE,   Govisumber,2022,1274.0
FEMALE,   Govisumber,2021,1121.0
FEMALE,   Govisumber,2020,1039.7
FEMALE,   Govisumber,2019,922.2
FEMALE,   Govisumber,2018,794.3
FEMALE,   Govisumber,2017,756.8
FEMALE,   Govisumber,2016,707.5
FEMALE,   Govisumber,2015,700.8
FEMALE,   Govisumber,2014,685.5
FEMALE,   Govisumber,2013,608.8
FEMALE,   Govisumber,2012,626.4
FEMALE,   Govisumber,2011,501.9
FEMALE,   Govisumber,2010,420.4
FEMALE,   Govisumber,2009,349.3
FEMALE,   Govisumber,2008,283.6
FEMALE,   Govisumber,2007,190.4
FEMALE,   Govisumber,2006,151.2
FEMALE,   Govisumber,2005,118.4
FEMALE,   Govisumber,2004,111.6
FEMALE,   Govisumber,2003,99.8
FEMALE,   Govisumber,2002,82.0
FEMALE,   Govisumber,2001,73.8
FEMALE,   Govisumber,2000,73.8
FEMALE,   Govisumber,1999,
FEMALE,   Govisumber,1998,
FEMALE,   Govisumber,1997,
FEMALE,   Govisumber,1996,
FEMALE,   Govisumber,1995,
FEMALE,Eastern region,2024,1959.6
FEMALE,Eastern region,2023,1451.8
FEMALE,Eastern region,2022,1129.1
FEMALE,Eastern region,2021,984.5
FEMALE,Eastern region,2020,930.1
FEMALE,Eastern region,2019,816.6
FEMALE,Eastern region,2018,681.9
FEMALE,Eastern region,2017,677.3
FEMALE,Eastern region,2016,647.9
FEMALE,Eastern region,2015,623.5
FEMALE,Eastern region,2014,590.5
FEMALE,Eastern region,2013,607.5
FEMALE,Eastern region,2012,472.2
FEMALE,Eastern region,2011,345.1
FEMALE,Eastern region,2010,293.3
FEMALE,Eastern region,2009,273.2
FEMALE,Eastern region,2008,243.6
FEMALE,Eastern region,2007,148.0
FEMALE,Eastern region,2006,106.1
FEMALE,Eastern region,2005,85.5
FEMALE,Eastern region,2004,68.6
FEMALE,Eastern region,2003,62.4
FEMALE,Eastern region,2002,57.8
FEMALE,Eastern region,2001,53.4
FEMALE,Eastern region,2000,52.4
FEMALE,Eastern region,1999,
FEMALE,Eastern region,1998,
FEMALE,Eastern region,1997,
FEMALE,Eastern region,1996,
FEMALE,Eastern region,1995,
FEMALE,   Dornod,2024,1924.2
FEMALE,   Dornod,2023,1485.9
FEMALE,   Dornod,2022,1182.8
FEMALE,   Dornod,2021,1015.2
FEMALE,   Dornod,2020,955.5
FEMALE,   Dornod,2019,857.9
FEMALE,   Dornod,2018,725.6
FEMALE,   Dornod,2017,748.7
FEMALE,   Dornod,2016,700.9
FEMALE,   Dornod,2015,676.3
FEMALE,   Dornod,2014,620.5
FEMALE,   Dornod,2013,619.8
FEMALE,   Dornod,2012,505.6
FEMALE,   Dornod,2011,370.6
FEMALE,   Dornod,2010,302.0
FEMALE,   Dornod,2009,298.8
FEMALE,   Dornod,2008,260.2
FEMALE,   Dornod,2007,156.3
FEMALE,   Dornod,2006,106.1
FEMALE,   Dornod,2005,87.9
FEMALE,   Dornod,2004,60.7
FEMALE,   Dornod,2003,52.8
FEMALE,   Dornod,2002,57.5
FEMALE,   Dornod,2001,49.4
FEMALE,   Dornod,2000,46.9
FEMALE,   Dornod,1999,
FEMALE,   Dornod,1998,
FEMALE,   Dornod,1997,
FEMALE,   Dornod,1996,
FEMALE,   Dornod,1995,
FEMALE,   Sukhbaatar,2024,1943.2
FEMALE,   Sukhbaatar,2023,1392.0
FEMALE,   Sukhbaatar,2022,1075.5
FEMALE,   Sukhbaatar,2021,936.5
FEMALE,   Sukhbaatar,2020,883.7
FEMALE,   Sukhbaatar,2019,770.4
FEMALE,   Sukhbaatar,2018,657.8
FEMALE,   Sukhbaatar,2017,630.3
FEMALE,   Sukhbaatar,2016,610.2
FEMALE,   Sukhbaatar,2015,580.8
FEMALE,   Sukhbaatar,2014,550.9
FEMALE,   Sukhbaatar,2013,584.4
FEMALE,   Sukhbaatar,2012,453.9
FEMALE,   Sukhbaatar,2011,328.4
FEMALE,   Sukhbaatar,2010,284.0
FEMALE,   Sukhbaatar,2009,247.3
FEMALE,   Sukhbaatar,2008,247.4
FEMALE,   Sukhbaatar,2007,148.7
FEMALE,   Sukhbaatar,2006,98.0
FEMALE,   Sukhbaatar,2005,85.3
FEMALE,   Sukhbaatar,2004,75.6
FEMALE,   Sukhbaatar,2003,71.4
FEMALE,   Sukhbaatar,2002,61.7
FEMALE,   Sukhbaatar,2001,58.9
FEMALE,   Sukhbaatar,2000,60.0
FEMALE,   Sukhbaatar,1999,
FEMALE,   Sukhbaatar,1998,
FEMALE,   Sukhbaatar,1997,
FEMALE,   Sukhbaatar,1996,
FEMALE,   Sukhbaatar,1995,
FEMALE,   Khentii,2024,2011.9
FEMALE,   Khentii,2023,1455.3
FEMALE,   Khentii,2022,1104.6
FEMALE,   Khentii,2021,984.3
FEMALE,   Khentii,2020,934.5
FEMALE,   Khentii,2019,802.5
FEMALE,   Khentii,2018,649.7
FEMALE,   Khentii,2017,628.3
FEMALE,   Khentii,2016,614.2
FEMALE,   Khentii,2015,596.9
FEMALE,   Khentii,2014,587.4
FEMALE,   Khentii,2013,606.8
FEMALE,   Khentii,2012,404.9
FEMALE,   Khentii,2011,302.0
FEMALE,   Khentii,2010,278.3
FEMALE,   Khentii,2009,244.7
FEMALE,   Khentii,2008,198.4
FEMALE,   Khentii,2007,128.6
FEMALE,   Khentii,2006,115.9
FEMALE,   Khentii,2005,82.9
FEMALE,   Khentii,2004,73.9
FEMALE,   Khentii,2003,68.6
FEMALE,   Khentii,2002,54.1
FEMALE,   Khentii,2001,52.4
FEMALE,   Khentii,2000,52.5
FEMALE,   Khentii,1999,
FEMALE,   Khentii,1998,
FEMALE,   Khentii,1997,
FEMALE,   Khentii,1996,
FEMALE,   Khentii,1995,
FEMALE,Ulaanbaatar,2024,2103.9
FEMALE,Ulaanbaatar,2023,1725.6
FEMALE,Ulaanbaatar,2022,1464.5
FEMALE,Ulaanbaatar,2021,1243.5
FEMALE,Ulaanbaatar,2020,1193.4
FEMALE,Ulaanbaatar,2019,1124.3
FEMALE,Ulaanbaatar,2018,1014.6
FEMALE,Ulaanbaatar,2017,969.2
FEMALE,Ulaanbaatar,2016,904.0
FEMALE,Ulaanbaatar,2015,831.4
FEMALE,Ulaanbaatar,2014,803.1
FEMALE,Ulaanbaatar,2013,731.7
FEMALE,Ulaanbaatar,2012,571.8
FEMALE,Ulaanbaatar,2011,414.4
FEMALE,Ulaanbaatar,2010,340.8
FEMALE,Ulaanbaatar,2009,293.6
FEMALE,Ulaanbaatar,2008,255.5
FEMALE,Ulaanbaatar,2007,170.6
FEMALE,Ulaanbaatar,2006,121.7
FEMALE,Ulaanbaatar,2005,97.2
FEMALE,Ulaanbaatar,2004,94.5
FEMALE,Ulaanbaatar,2003,83.8
FEMALE,Ulaanbaatar,2002,74.9
FEMALE,Ulaanbaatar,2001,72.7
FEMALE,Ulaanbaatar,2000,75.1
FEMALE,Ulaanbaatar,1999,
FEMALE,Ulaanbaatar,1998,
FEMALE,Ulaanbaatar,1997,
FEMALE,Ulaanbaatar,1996,
FEMALE,Ulaanbaatar,1995,
FEMALE,   Ulaanbaatar,2024,2103.9
FEMALE,   Ulaanbaatar,2023,1725.6
FEMALE,   Ulaanbaatar,2022,1464.5
FEMALE,   Ulaanbaatar,2021,1243.5
FEMALE,   Ulaanbaatar,2020,1193.4
FEMALE,   Ulaanbaatar,2019,1124.3
FEMALE,   Ulaanbaatar,2018,1014.6
FEMALE,   Ulaanbaatar,2017,969.2
FEMALE,   Ulaanbaatar,2016,904.0
FEMALE,   Ulaanbaatar,2015,831.4
FEMALE,   Ulaanbaatar,2014,803.1
FEMALE,   Ulaanbaatar,2013,731.7
FEMALE,   Ulaanbaatar,2012,571.8
FEMALE,   Ulaanbaatar,2011,414.4
FEMALE,   Ulaanbaatar,2010,340.8
FEMALE,   Ulaanbaatar,2009,293.6
FEMALE,   Ulaanbaatar,2008,255.5
FEMALE,   Ulaanbaatar,2007,170.6
FEMALE,   Ulaanbaatar,2006,121.7
FEMALE,   Ulaanbaatar,2005,97.2
FEMALE,   Ulaanbaatar,2004,94.5
FEMALE,   Ulaanbaatar,2003,83.8
FEMALE,   Ulaanbaatar,2002,74.9
FEMALE,   Ulaanbaatar,2001,72.7
FEMALE,   Ulaanbaatar,2000,75.1
FEMALE,   Ulaanbaatar,1999,
FEMALE,   Ulaanbaatar,1998,
FEMALE,   Ulaanbaatar,1997,
FEMALE,   Ulaanbaatar,1996,
FEMALE,   Ulaanbaatar,1995,
MALE,National average,2024,2576.9
MALE,National average,2023,2103.4
MALE,National average,2022,1642.8
MALE,National average,2021,1390.1
MALE,National average,2020,1326.2
MALE,National average,2019,1222.6
MALE,National average,2018,1100.3
MALE,National average,2017,1029.4
MALE,National average,2016,913.9
MALE,National average,2015,856.0
MALE,National average,2014,859.7
MALE,National average,2013,860.5
MALE,National average,2012,593.1
MALE,National average,2011,470.0
MALE,National average,2010,370.4
MALE,National average,2009,322.6
MALE,National average,2008,291.2
MALE,National average,2007,186.7
MALE,National average,2006,138.1
MALE,National average,2005,110.0
MALE,National average,2004,98.3
MALE,National average,2003,86.9
MALE,National average,2002,76.3
MALE,National average,2001,69.2
MALE,National average,2000,64.7
MALE,National average,1999,
MALE,National average,1998,
MALE,National average,1997,
MALE,National average,1996,
MALE,National average,1995,
MALE,Western region,2024,1864.2
MALE,Western region,2023,1352.1
MALE,Western region,2022,988.4
MALE,Western region,2021,890.1
MALE,Western region,2020,860.5
MALE,Western region,2019,754.3
MALE,Western region,2018,655.3
MALE,Western region,2017,633.1
MALE,Western region,2016,608.5
MALE,Western region,2015,600.4
MALE,Western region,2014,586.7
MALE,Western region,2013,589.0
MALE,Western region,2012,464.8
MALE,Western region,2011,348.5
MALE,Western region,2010,281.6
MALE,Western region,2009,274.6
MALE,Western region,2008,258.8
MALE,Western region,2007,162.9
MALE,Western region,2006,119.8
MALE,Western region,2005,96.6
MALE,Western region,2004,90.3
MALE,Western region,2003,77.9
MALE,Western region,2002,65.4
MALE,Western region,2001,58.1
MALE,Western region,2000,62.4
MALE,Western region,1999,
MALE,Western region,1998,
MALE,Western region,1997,
MALE,Western region,1996,
MALE,Western region,1995,
MALE,   Bayan-Ulgii,2024,1781.9
MALE,   Bayan-Ulgii,2023,1260.0
MALE,   Bayan-Ulgii,2022,908.0
MALE,   Bayan-Ulgii,2021,832.7
MALE,   Bayan-Ulgii,2020,812.1
MALE,   Bayan-Ulgii,2019,722.4
MALE,   Bayan-Ulgii,2018,610.1
MALE,   Bayan-Ulgii,2017,607.4
MALE,   Bayan-Ulgii,2016,587.1
MALE,   Bayan-Ulgii,2015,593.1
MALE,   Bayan-Ulgii,2014,564.8
MALE,   Bayan-Ulgii,2013,571.1
MALE,   Bayan-Ulgii,2012,434.0
MALE,   Bayan-Ulgii,2011,344.3
MALE,   Bayan-Ulgii,2010,267.3
MALE,   Bayan-Ulgii,2009,258.1
MALE,   Bayan-Ulgii,2008,240.3
MALE,   Bayan-Ulgii,2007,145.4
MALE,   Bayan-Ulgii,2006,103.0
MALE,   Bayan-Ulgii,2005,94.8
MALE,   Bayan-Ulgii,2004,84.9
MALE,   Bayan-Ulgii,2003,71.7
MALE,   Bayan-Ulgii,2002,59.4
MALE,   Bayan-Ulgii,2001,53.9
MALE,   Bayan-Ulgii,2000,52.0
MALE,   Bayan-Ulgii,1999,
MALE,   Bayan-Ulgii,1998,
MALE,   Bayan-Ulgii,1997,
MALE,   Bayan-Ulgii,1996,
MALE,   Bayan-Ulgii,1995,
MALE,   Govi-Altai,2024,1877.3
MALE,   Govi-Altai,2023,1336.8
MALE,   Govi-Altai,2022,967.0
MALE,   Govi-Altai,2021,899.6
MALE,   Govi-Altai,2020,870.7
MALE,   Govi-Altai,2019,766.4
MALE,   Govi-Altai,2018,667.3
MALE,   Govi-Altai,2017,643.8
MALE,   Govi-Altai,2016,618.9
MALE,   Govi-Altai,2015,608.0
MALE,   Govi-Altai,2014,624.2
MALE,   Govi-Altai,2013,581.7
MALE,   Govi-Altai,2012,479.2
MALE,   Govi-Altai,2011,343.3
MALE,   Govi-Altai,2010,292.9
MALE,   Govi-Altai,2009,293.3
MALE,   Govi-Altai,2008,272.3
MALE,   Govi-Altai,2007,165.8
MALE,   Govi-Altai,2006,120.8
MALE,   Govi-Altai,2005,91.9
MALE,   Govi-Altai,2004,84.5
MALE,   Govi-Altai,2003,77.1
MALE,   Govi-Altai,2002,69.0
MALE,   Govi-Altai,2001,57.1
MALE,   Govi-Altai,2000,63.6
MALE,   Govi-Altai,1999,
MALE,   Govi-Altai,1998,
MALE,   Govi-Altai,1997,
MALE,   Govi-Altai,1996,
MALE,   Govi-Altai,1995,
MALE,   Zavkhan,2024,1964.8
MALE,   Zavkhan,2023,1445.7
MALE,   Zavkhan,2022,1017.3
MALE,   Zavkhan,2021,906.6
MALE,   Zavkhan,2020,911.4
MALE,   Zavkhan,2019,780.5
MALE,   Zavkhan,2018,673.9
MALE,   Zavkhan,2017,636.2
MALE,   Zavkhan,2016,610.3
MALE,   Zavkhan,2015,576.9
MALE,   Zavkhan,2014,575.1
MALE,   Zavkhan,2013,581.7
MALE,   Zavkhan,2012,517.1
MALE,   Zavkhan,2011,379.8
MALE,   Zavkhan,2010,270.4
MALE,   Zavkhan,2009,273.7
MALE,   Zavkhan,2008,271.4
MALE,   Zavkhan,2007,171.2
MALE,   Zavkhan,2006,137.8
MALE,   Zavkhan,2005,97.7
MALE,   Zavkhan,2004,95.0
MALE,   Zavkhan,2003,77.3
MALE,   Zavkhan,2002,65.4
MALE,   Zavkhan,2001,58.2
MALE,   Zavkhan,2000,59.1
MALE,   Zavkhan,1999,
MALE,   Zavkhan,1998,
MALE,   Zavkhan,1997,
MALE,   Zavkhan,1996,
MALE,   Zavkhan,1995,
MALE,   Uvs,2024,1896.0
MALE,   Uvs,2023,1371.8
MALE,   Uvs,2022,988.9
MALE,   Uvs,2021,876.9
MALE,   Uvs,2020,848.2
MALE,   Uvs,2019,738.7
MALE,   Uvs,2018,636.5
MALE,   Uvs,2017,623.7
MALE,   Uvs,2016,604.4
MALE,   Uvs,2015,594.8
MALE,   Uvs,2014,571.1
MALE,   Uvs,2013,650.3
MALE,   Uvs,2012,480.8
MALE,   Uvs,2011,351.9
MALE,   Uvs,2010,308.5
MALE,   Uvs,2009,283.1
MALE,   Uvs,2008,273.9
MALE,   Uvs,2007,167.8
MALE,   Uvs,2006,121.1
MALE,   Uvs,2005,96.3
MALE,   Uvs,2004,93.3
MALE,   Uvs,2003,85.2
MALE,   Uvs,2002,72.2
MALE,   Uvs,2001,61.8
MALE,   Uvs,2000,61.3
MALE,   Uvs,1999,
MALE,   Uvs,1998,
MALE,   Uvs,1997,
MALE,   Uvs,1996,
MALE,   Uvs,1995,
MALE,   Khovd,2024,1852.6
MALE,   Khovd,2023,1371.9
MALE,   Khovd,2022,1054.0
MALE,   Khovd,2021,935.3
MALE,   Khovd,2020,875.3
MALE,   Khovd,2019,771.2
MALE,   Khovd,2018,695.2
MALE,   Khovd,2017,658.2
MALE,   Khovd,2016,625.6
MALE,   Khovd,2015,627.0
MALE,   Khovd,2014,604.1
MALE,   Khovd,2013,565.2
MALE,   Khovd,2012,439.4
MALE,   Khovd,2011,337.1
MALE,   Khovd,2010,272.8
MALE,   Khovd,2009,266.9
MALE,   Khovd,2008,250.1
MALE,   Khovd,2007,169.3
MALE,   Khovd,2006,122.7
MALE,   Khovd,2005,101.5
MALE,   Khovd,2004,92.5
MALE,   Khovd,2003,74.4
MALE,   Khovd,2002,63.4
MALE,   Khovd,2001,62.5
MALE,   Khovd,2000,78.6
MALE,   Khovd,1999,
MALE,   Khovd,1998,
MALE,   Khovd,1997,
MALE,   Khovd,1996,
MALE,   Khovd,1995,
MALE,Khangai region,2024,2551.6
MALE,Khangai region,2023,1959.3
MALE,Khangai region,2022,1510.8
MALE,Khangai region,2021,1290.7
MALE,Khangai region,2020,1242.2
MALE,Khangai region,2019,1097.4
MALE,Khangai region,2018,947.0
MALE,Khangai region,2017,858.7
MALE,Khangai region,2016,862.3
MALE,Khangai region,2015,832.1
MALE,Khangai region,2014,846.7
MALE,Khangai region,2013,680.7
MALE,Khangai region,2012,581.3
MALE,Khangai region,2011,426.5
MALE,Khangai region,2010,332.2
MALE,Khangai region,2009,303.2
MALE,Khangai region,2008,277.4
MALE,Khangai region,2007,181.0
MALE,Khangai region,2006,131.7
MALE,Khangai region,2005,111.1
MALE,Khangai region,2004,96.7
MALE,Khangai region,2003,83.8
MALE,Khangai region,2002,71.1
MALE,Khangai region,2001,64.7
MALE,Khangai region,2000,59.3
MALE,Khangai region,1999,
MALE,Khangai region,1998,
MALE,Khangai region,1997,
MALE,Khangai region,1996,
MALE,Khangai region,1995,
MALE,   Arkhangai,2024,1759.5
MALE,   Arkhangai,2023,1245.6
MALE,   Arkhangai,2022,905.7
MALE,   Arkhangai,2021,808.2
MALE,   Arkhangai,2020,792.3
MALE,   Arkhangai,2019,690.8
MALE,   Arkhangai,2018,593.3
MALE,   Arkhangai,2017,568.8
MALE,   Arkhangai,2016,556.2
MALE,   Arkhangai,2015,557.9
MALE,   Arkhangai,2014,542.9
MALE,   Arkhangai,2013,549.7
MALE,   Arkhangai,2012,522.2
MALE,   Arkhangai,2011,380.5
MALE,   Arkhangai,2010,306.3
MALE,   Arkhangai,2009,280.4
MALE,   Arkhangai,2008,255.1
MALE,   Arkhangai,2007,152.9
MALE,   Arkhangai,2006,105.7
MALE,   Arkhangai,2005,83.6
MALE,   Arkhangai,2004,79.9
MALE,   Arkhangai,2003,65.5
MALE,   Arkhangai,2002,66.5
MALE,   Arkhangai,2001,50.8
MALE,   Arkhangai,2000,47.1
MALE,   Arkhangai,1999,
MALE,   Arkhangai,1998,
MALE,   Arkhangai,1997,
MALE,   Arkhangai,1996,
MALE,   Arkhangai,1995,
MALE,   Bayankhongor,2024,1873.5
MALE,   Bayankhongor,2023,1307.7
MALE,   Bayankhongor,2022,957.4
MALE,   Bayankhongor,2021,861.7
MALE,   Bayankhongor,2020,833.5
MALE,   Bayankhongor,2019,748.4
MALE,   Bayankhongor,2018,647.9
MALE,   Bayankhongor,2017,608.2
MALE,   Bayankhongor,2016,592.2
MALE,   Bayankhongor,2015,581.6
MALE,   Bayankhongor,2014,565.0
MALE,   Bayankhongor,2013,561.4
MALE,   Bayankhongor,2012,508.0
MALE,   Bayankhongor,2011,394.7
MALE,   Bayankhongor,2010,312.0
MALE,   Bayankhongor,2009,280.3
MALE,   Bayankhongor,2008,270.6
MALE,   Bayankhongor,2007,160.7
MALE,   Bayankhongor,2006,104.9
MALE,   Bayankhongor,2005,87.1
MALE,   Bayankhongor,2004,91.2
MALE,   Bayankhongor,2003,76.5
MALE,   Bayankhongor,2002,66.6
MALE,   Bayankhongor,2001,66.3
MALE,   Bayankhongor,2000,56.0
MALE,   Bayankhongor,1999,
MALE,   Bayankhongor,1998,
MALE,   Bayankhongor,1997,
MALE,   Bayankhongor,1996,
MALE,   Bayankhongor,1995,
MALE,   Bulgan,2024,1934.6
MALE,   Bulgan,2023,1395.5
MALE,   Bulgan,2022,984.2
MALE,   Bulgan,2021,864.6
MALE,   Bulgan,2020,828.3
MALE,   Bulgan,2019,743.2
MALE,   Bulgan,2018,638.8
MALE,   Bulgan,2017,628.4
MALE,   Bulgan,2016,590.8
MALE,   Bulgan,2015,587.5
MALE,   Bulgan,2014,569.0
MALE,   Bulgan,2013,623.8
MALE,   Bulgan,2012,491.2
MALE,   Bulgan,2011,414.2
MALE,   Bulgan,2010,309.6
MALE,   Bulgan,2009,303.9
MALE,   Bulgan,2008,242.6
MALE,   Bulgan,2007,153.0
MALE,   Bulgan,2006,114.6
MALE,   Bulgan,2005,110.7
MALE,   Bulgan,2004,96.4
MALE,   Bulgan,2003,78.2
MALE,   Bulgan,2002,67.1
MALE,   Bulgan,2001,58.2
MALE,   Bulgan,2000,42.5
MALE,   Bulgan,1999,
MALE,   Bulgan,1998,
MALE,   Bulgan,1997,
MALE,   Bulgan,1996,
MALE,   Bulgan,1995,
MALE,   Uvurkhangai,2024,1890.2
MALE,   Uvurkhangai,2023,1374.0
MALE,   Uvurkhangai,2022,1034.1
MALE,   Uvurkhangai,2021,858.4
MALE,   Uvurkhangai,2020,846.5
MALE,   Uvurkhangai,2019,742.1
MALE,   Uvurkhangai,2018,629.2
MALE,   Uvurkhangai,2017,605.4
MALE,   Uvurkhangai,2016,568.0
MALE,   Uvurkhangai,2015,548.9
MALE,   Uvurkhangai,2014,547.3
MALE,   Uvurkhangai,2013,604.9
MALE,   Uvurkhangai,2012,485.3
MALE,   Uvurkhangai,2011,345.0
MALE,   Uvurkhangai,2010,287.2
MALE,   Uvurkhangai,2009,265.4
MALE,   Uvurkhangai,2008,237.5
MALE,   Uvurkhangai,2007,140.9
MALE,   Uvurkhangai,2006,108.2
MALE,   Uvurkhangai,2005,87.8
MALE,   Uvurkhangai,2004,87.0
MALE,   Uvurkhangai,2003,65.6
MALE,   Uvurkhangai,2002,67.3
MALE,   Uvurkhangai,2001,48.7
MALE,   Uvurkhangai,2000,62.0
MALE,   Uvurkhangai,1999,
MALE,   Uvurkhangai,1998,
MALE,   Uvurkhangai,1997,
MALE,   Uvurkhangai,1996,
MALE,   Uvurkhangai,1995,
MALE,   Khuvsgul,2024,1754.3
MALE,   Khuvsgul,2023,1252.1
MALE,   Khuvsgul,2022,939.2
MALE,   Khuvsgul,2021,845.9
MALE,   Khuvsgul,2020,829.4
MALE,   Khuvsgul,2019,725.3
MALE,   Khuvsgul,2018,621.4
MALE,   Khuvsgul,2017,602.6
MALE,   Khuvsgul,2016,568.2
MALE,   Khuvsgul,2015,562.4
MALE,   Khuvsgul,2014,550.8
MALE,   Khuvsgul,2013,602.5
MALE,   Khuvsgul,2012,410.4
MALE,   Khuvsgul,2011,311.2
MALE,   Khuvsgul,2010,266.4
MALE,   Khuvsgul,2009,268.2
MALE,   Khuvsgul,2008,248.8
MALE,   Khuvsgul,2007,152.5
MALE,   Khuvsgul,2006,111.5
MALE,   Khuvsgul,2005,76.9
MALE,   Khuvsgul,2004,74.8
MALE,   Khuvsgul,2003,60.0
MALE,   Khuvsgul,2002,53.0
MALE,   Khuvsgul,2001,51.7
MALE,   Khuvsgul,2000,54.3
MALE,   Khuvsgul,1999,
MALE,   Khuvsgul,1998,
MALE,   Khuvsgul,1997,
MALE,   Khuvsgul,1996,
MALE,   Khuvsgul,1995,
MALE,   Orkhon,2024,3859.6
MALE,   Orkhon,2023,3122.0
MALE,   Orkhon,2022,2520.2
MALE,   Orkhon,2021,2112.3
MALE,   Orkhon,2020,2009.7
MALE,   Orkhon,2019,1769.3
MALE,   Orkhon,2018,1508.0
MALE,   Orkhon,2017,1283.4
MALE,   Orkhon,2016,1386.6
MALE,   Orkhon,2015,1302.3
MALE,   Orkhon,2014,1228.2
MALE,   Orkhon,2013,835.8
MALE,   Orkhon,2012,745.2
MALE,   Orkhon,2011,530.1
MALE,   Orkhon,2010,404.1
MALE,   Orkhon,2009,352.4
MALE,   Orkhon,2008,315.5
MALE,   Orkhon,2007,221.1
MALE,   Orkhon,2006,161.2
MALE,   Orkhon,2005,139.6
MALE,   Orkhon,2004,116.4
MALE,   Orkhon,2003,110.6
MALE,   Orkhon,2002,86.0
MALE,   Orkhon,2001,83.6
MALE,   Orkhon,2000,75.6
MALE,   Orkhon,1999,
MALE,   Orkhon,1998,
MALE,   Orkhon,1997,
MALE,   Orkhon,1996,
MALE,   Orkhon,1995,
MALE,Central region,2024,2602.1
MALE,Central region,2023,2114.6
MALE,Central region,2022,1602.6
MALE,Central region,2021,1272.5
MALE,Central region,2020,1199.0
MALE,Central region,2019,1067.1
MALE,Central region,2018,924.8
MALE,Central region,2017,850.4
MALE,Central region,2016,762.6
MALE,Central region,2015,752.0
MALE,Central region,2014,754.8
MALE,Central region,2013,756.4
MALE,Central region,2012,610.9
MALE,Central region,2011,505.6
MALE,Central region,2010,403.7
MALE,Central region,2009,317.2
MALE,Central region,2008,311.7
MALE,Central region,2007,194.1
MALE,Central region,2006,151.2
MALE,Central region,2005,120.7
MALE,Central region,2004,109.0
MALE,Central region,2003,91.7
MALE,Central region,2002,78.3
MALE,Central region,2001,68.0
MALE,Central region,2000,66.4
MALE,Central region,1999,
