Type of livestock,Region,Year,value
Cattle,            Darkhan-Uul,1980,6.7
Cattle,            Darkhan-Uul,1979,12.7
Cattle,            Darkhan-Uul,1978,6.4
Cattle,            Darkhan-Uul,1977,6.1
Cattle,            Darkhan-Uul,1976,5.7
Cattle,            Darkhan-Uul,1975,5.3
Cattle,            Darkhan-Uul,1974,5.0
Cattle,            Darkhan-Uul,1973,3.6
Cattle,            Darkhan-Uul,1972,5.5
Cattle,            Darkhan-Uul,1971,4.0
Cattle,            Darkhan-Uul,1970,2.2
Cattle,            Selenge,2024,311.8
Cattle,            Selenge,2023,303.3
Cattle,            Selenge,2022,298.5
Cattle,            Selenge,2021,281.6
Cattle,            Selenge,2020,256.0
Cattle,            Selenge,2019,232.3
Cattle,            Selenge,2018,216.8
Cattle,            Selenge,2017,218.4
Cattle,            Selenge,2016,224.3
Cattle,            Selenge,2015,207.8
Cattle,            Selenge,2014,196.6
Cattle,            Selenge,2013,171.5
Cattle,            Selenge,2012,159.6
Cattle,            Selenge,2011,151.9
Cattle,            Selenge,2010,143.5
Cattle,            Selenge,2009,153.2
Cattle,            Selenge,2008,134.1
Cattle,            Selenge,2007,105.5
Cattle,            Selenge,2006,85.1
Cattle,            Selenge,2005,73.7
Cattle,            Selenge,2004,68.4
Cattle,            Selenge,2003,71.5
Cattle,            Selenge,2002,94.1
Cattle,            Selenge,2001,96.7
Cattle,            Selenge,2000,108.5
Cattle,            Selenge,1999,109.6
Cattle,            Selenge,1998,103.5
Cattle,            Selenge,1997,96.3
Cattle,            Selenge,1996,98.1
Cattle,            Selenge,1995,97.6
Cattle,            Selenge,1994,93.0
Cattle,            Selenge,1993,85.8
Cattle,            Selenge,1992,96.6
Cattle,            Selenge,1991,99.2
Cattle,            Selenge,1990,99.2
Cattle,            Selenge,1989,92.9
Cattle,            Selenge,1988,84.8
Cattle,            Selenge,1987,81.7
Cattle,            Selenge,1986,77.0
Cattle,            Selenge,1985,75.4
Cattle,            Selenge,1984,76.7
Cattle,            Selenge,1983,75.1
Cattle,            Selenge,1982,71.2
Cattle,            Selenge,1981,70.1
Cattle,            Selenge,1980,70.4
Cattle,            Selenge,1979,75.3
Cattle,            Selenge,1978,81.2
Cattle,            Selenge,1977,78.8
Cattle,            Selenge,1976,76.1
Cattle,            Selenge,1975,77.1
Cattle,            Selenge,1974,72.7
Cattle,            Selenge,1973,67.7
Cattle,            Selenge,1972,61.2
Cattle,            Selenge,1971,60.1
Cattle,            Selenge,1970,60.0
Cattle,            Tuv,2024,356.9
Cattle,            Tuv,2023,355.0
Cattle,            Tuv,2022,348.8
Cattle,            Tuv,2021,320.0
Cattle,            Tuv,2020,322.1
Cattle,            Tuv,2019,313.8
Cattle,            Tuv,2018,282.3
Cattle,            Tuv,2017,310.8
Cattle,            Tuv,2016,326.2
Cattle,            Tuv,2015,316.1
Cattle,            Tuv,2014,289.4
Cattle,            Tuv,2013,239.4
Cattle,            Tuv,2012,206.5
Cattle,            Tuv,2011,185.0
Cattle,            Tuv,2010,172.0
Cattle,            Tuv,2009,194.2
Cattle,            Tuv,2008,171.6
Cattle,            Tuv,2007,157.2
Cattle,            Tuv,2006,131.1
Cattle,            Tuv,2005,108.1
Cattle,            Tuv,2004,93.3
Cattle,            Tuv,2003,91.5
Cattle,            Tuv,2002,109.3
Cattle,            Tuv,2001,120.1
Cattle,            Tuv,2000,184.2
Cattle,            Tuv,1999,241.2
Cattle,            Tuv,1998,263.5
Cattle,            Tuv,1997,248.9
Cattle,            Tuv,1996,235.6
Cattle,            Tuv,1995,214.4
Cattle,            Tuv,1994,190.7
Cattle,            Tuv,1993,185.9
Cattle,            Tuv,1992,197.9
Cattle,            Tuv,1991,199.8
Cattle,            Tuv,1990,205.7
Cattle,            Tuv,1989,191.9
Cattle,            Tuv,1988,176.1
Cattle,            Tuv,1987,175.0
Cattle,            Tuv,1986,174.4
Cattle,            Tuv,1985,165.3
Cattle,            Tuv,1984,165.6
Cattle,            Tuv,1983,168.1
Cattle,            Tuv,1982,164.6
Cattle,            Tuv,1981,155.9
Cattle,            Tuv,1980,158.0
Cattle,            Tuv,1979,165.9
Cattle,            Tuv,1978,167.9
Cattle,            Tuv,1977,162.5
Cattle,            Tuv,1976,178.8
Cattle,            Tuv,1975,189.3
Cattle,            Tuv,1974,172.4
Cattle,            Tuv,1973,158.4
Cattle,            Tuv,1972,163.7
Cattle,            Tuv,1971,164.8
Cattle,            Tuv,1970,165.1
Cattle,    Eastern region,2024,850.0
Cattle,    Eastern region,2023,1100.8
Cattle,    Eastern region,2022,1178.5
Cattle,    Eastern region,2021,1068.5
Cattle,    Eastern region,2020,960.7
Cattle,    Eastern region,2019,927.2
Cattle,    Eastern region,2018,847.8
Cattle,    Eastern region,2017,779.9
Cattle,    Eastern region,2016,681.1
Cattle,    Eastern region,2015,648.7
Cattle,    Eastern region,2014,578.2
Cattle,    Eastern region,2013,503.9
Cattle,    Eastern region,2012,453.6
Cattle,    Eastern region,2011,412.1
Cattle,    Eastern region,2010,393.5
Cattle,    Eastern region,2009,399.5
Cattle,    Eastern region,2008,380.2
Cattle,    Eastern region,2007,415.0
Cattle,    Eastern region,2006,397.9
Cattle,    Eastern region,2005,373.3
Cattle,    Eastern region,2004,375.3
Cattle,    Eastern region,2003,391.4
Cattle,    Eastern region,2002,384.1
Cattle,    Eastern region,2001,388.1
Cattle,    Eastern region,2000,570.3
Cattle,    Eastern region,1999,586.6
Cattle,    Eastern region,1998,534.6
Cattle,    Eastern region,1997,491.2
Cattle,    Eastern region,1996,453.4
Cattle,    Eastern region,1995,452.7
Cattle,    Eastern region,1994,449.3
Cattle,    Eastern region,1993,365.5
Cattle,    Eastern region,1992,454.9
Cattle,    Eastern region,1991,447.8
Cattle,    Eastern region,1990,455.4
Cattle,    Eastern region,1989,435.4
Cattle,    Eastern region,1988,408.5
Cattle,    Eastern region,1987,418.0
Cattle,    Eastern region,1986,419.0
Cattle,    Eastern region,1985,412.4
Cattle,    Eastern region,1984,417.0
Cattle,    Eastern region,1983,418.1
Cattle,    Eastern region,1982,440.7
Cattle,    Eastern region,1981,459.8
Cattle,    Eastern region,1980,442.9
Cattle,    Eastern region,1979,474.1
Cattle,    Eastern region,1978,468.5
Cattle,    Eastern region,1977,439.5
Cattle,    Eastern region,1976,441.0
Cattle,    Eastern region,1975,438.2
Cattle,    Eastern region,1974,423.5
Cattle,    Eastern region,1973,389.7
Cattle,    Eastern region,1972,380.4
Cattle,    Eastern region,1971,382.5
Cattle,    Eastern region,1970,372.6
Cattle,            Dornod,2024,319.6
Cattle,            Dornod,2023,391.5
Cattle,            Dornod,2022,401.9
Cattle,            Dornod,2021,353.2
Cattle,            Dornod,2020,305.1
Cattle,            Dornod,2019,277.4
Cattle,            Dornod,2018,243.1
Cattle,            Dornod,2017,207.9
Cattle,            Dornod,2016,175.6
Cattle,            Dornod,2015,163.7
Cattle,            Dornod,2014,142.5
Cattle,            Dornod,2013,124.7
Cattle,            Dornod,2012,119.7
Cattle,            Dornod,2011,109.7
Cattle,            Dornod,2010,107.8
Cattle,            Dornod,2009,126.8
Cattle,            Dornod,2008,123.8
Cattle,            Dornod,2007,117.5
Cattle,            Dornod,2006,106.4
Cattle,            Dornod,2005,99.8
Cattle,            Dornod,2004,98.5
Cattle,            Dornod,2003,101.1
Cattle,            Dornod,2002,99.7
Cattle,            Dornod,2001,100.1
Cattle,            Dornod,2000,142.7
Cattle,            Dornod,1999,146.2
Cattle,            Dornod,1998,132.9
Cattle,            Dornod,1997,121.8
Cattle,            Dornod,1996,111.1
Cattle,            Dornod,1995,111.7
Cattle,            Dornod,1994,115.0
Cattle,            Dornod,1993,117.6
Cattle,            Dornod,1992,123.3
Cattle,            Dornod,1991,124.0
Cattle,            Dornod,1990,126.1
Cattle,            Dornod,1989,121.3
Cattle,            Dornod,1988,115.4
Cattle,            Dornod,1987,115.3
Cattle,            Dornod,1986,113.2
Cattle,            Dornod,1985,112.2
Cattle,            Dornod,1984,112.2
Cattle,            Dornod,1983,113.9
Cattle,            Dornod,1982,123.2
Cattle,            Dornod,1981,131.2
Cattle,            Dornod,1980,125.3
Cattle,            Dornod,1979,131.0
Cattle,            Dornod,1978,128.3
Cattle,            Dornod,1977,122.1
Cattle,            Dornod,1976,122.1
Cattle,            Dornod,1975,122.2
Cattle,            Dornod,1974,119.1
Cattle,            Dornod,1973,107.9
Cattle,            Dornod,1972,101.2
Cattle,            Dornod,1971,101.7
Cattle,            Dornod,1970,96.8
Cattle,            Sukhbaatar,2024,183.2
Cattle,            Sukhbaatar,2023,303.5
Cattle,            Sukhbaatar,2022,341.8
Cattle,            Sukhbaatar,2021,308.2
Cattle,            Sukhbaatar,2020,280.9
Cattle,            Sukhbaatar,2019,268.5
Cattle,            Sukhbaatar,2018,251.6
Cattle,            Sukhbaatar,2017,236.8
Cattle,            Sukhbaatar,2016,209.3
Cattle,            Sukhbaatar,2015,214.5
Cattle,            Sukhbaatar,2014,195.9
Cattle,            Sukhbaatar,2013,172.0
Cattle,            Sukhbaatar,2012,151.1
Cattle,            Sukhbaatar,2011,136.7
Cattle,            Sukhbaatar,2010,128.0
Cattle,            Sukhbaatar,2009,110.1
Cattle,            Sukhbaatar,2008,97.8
Cattle,            Sukhbaatar,2007,124.6
Cattle,            Sukhbaatar,2006,128.6
Cattle,            Sukhbaatar,2005,125.3
Cattle,            Sukhbaatar,2004,138.4
Cattle,            Sukhbaatar,2003,151.3
Cattle,            Sukhbaatar,2002,140.4
Cattle,            Sukhbaatar,2001,137.9
Cattle,            Sukhbaatar,2000,209.6
Cattle,            Sukhbaatar,1999,211.3
Cattle,            Sukhbaatar,1998,184.8
Cattle,            Sukhbaatar,1997,167.5
Cattle,            Sukhbaatar,1996,155.9
Cattle,            Sukhbaatar,1995,162.6
Cattle,            Sukhbaatar,1994,159.9
Cattle,            Sukhbaatar,1993,80.5
Cattle,            Sukhbaatar,1992,144.4
Cattle,            Sukhbaatar,1991,135.4
Cattle,            Sukhbaatar,1990,132.2
Cattle,            Sukhbaatar,1989,129.2
Cattle,            Sukhbaatar,1988,122.6
Cattle,            Sukhbaatar,1987,126.0
Cattle,            Sukhbaatar,1986,133.2
Cattle,            Sukhbaatar,1985,127.6
Cattle,            Sukhbaatar,1984,122.7
Cattle,            Sukhbaatar,1983,117.4
Cattle,            Sukhbaatar,1982,122.7
Cattle,            Sukhbaatar,1981,134.1
Cattle,            Sukhbaatar,1980,128.2
Cattle,            Sukhbaatar,1979,138.6
Cattle,            Sukhbaatar,1978,136.3
Cattle,            Sukhbaatar,1977,125.0
Cattle,            Sukhbaatar,1976,123.8
Cattle,            Sukhbaatar,1975,119.1
Cattle,            Sukhbaatar,1974,113.9
Cattle,            Sukhbaatar,1973,104.4
Cattle,            Sukhbaatar,1972,98.3
Cattle,            Sukhbaatar,1971,95.9
Cattle,            Sukhbaatar,1970,98.1
Cattle,            Khentii,2024,347.2
Cattle,            Khentii,2023,405.7
Cattle,            Khentii,2022,434.8
Cattle,            Khentii,2021,407.1
Cattle,            Khentii,2020,374.7
Cattle,            Khentii,2019,381.2
Cattle,            Khentii,2018,353.0
Cattle,            Khentii,2017,335.3
Cattle,            Khentii,2016,296.2
Cattle,            Khentii,2015,270.6
Cattle,            Khentii,2014,239.8
Cattle,            Khentii,2013,207.2
Cattle,            Khentii,2012,182.7
Cattle,            Khentii,2011,165.7
Cattle,            Khentii,2010,157.7
Cattle,            Khentii,2009,162.6
Cattle,            Khentii,2008,158.6
Cattle,            Khentii,2007,172.9
Cattle,            Khentii,2006,162.9
Cattle,            Khentii,2005,148.2
Cattle,            Khentii,2004,138.3
Cattle,            Khentii,2003,139.0
Cattle,            Khentii,2002,144.0
Cattle,            Khentii,2001,150.1
Cattle,            Khentii,2000,218.0
Cattle,            Khentii,1999,229.1
Cattle,            Khentii,1998,217.0
Cattle,            Khentii,1997,201.9
Cattle,            Khentii,1996,186.4
Cattle,            Khentii,1995,178.4
Cattle,            Khentii,1994,174.4
Cattle,            Khentii,1993,167.3
Cattle,            Khentii,1992,187.2
Cattle,            Khentii,1991,188.4
Cattle,            Khentii,1990,197.1
Cattle,            Khentii,1989,184.9
Cattle,            Khentii,1988,170.5
Cattle,            Khentii,1987,176.7
Cattle,            Khentii,1986,172.6
Cattle,            Khentii,1985,172.6
Cattle,            Khentii,1984,182.1
Cattle,            Khentii,1983,186.8
Cattle,            Khentii,1982,194.8
Cattle,            Khentii,1981,194.4
Cattle,            Khentii,1980,189.5
Cattle,            Khentii,1979,204.6
Cattle,            Khentii,1978,203.9
Cattle,            Khentii,1977,192.4
Cattle,            Khentii,1976,195.1
Cattle,            Khentii,1975,197.0
Cattle,            Khentii,1974,190.5
Cattle,            Khentii,1973,177.4
Cattle,            Khentii,1972,180.9
Cattle,            Khentii,1971,184.8
Cattle,            Khentii,1970,177.6
Cattle,    Govi region,2024,207.8
Cattle,    Govi region,2023,243.5
Cattle,    Govi region,2022,260.5
Cattle,    Govi region,2021,232.9
Cattle,    Govi region,2020,228.4
Cattle,    Govi region,2019,216.3
Cattle,    Govi region,2018,197.6
Cattle,    Govi region,2017,189.8
Cattle,    Govi region,2016,161.5
Cattle,    Govi region,2015,155.9
Cattle,    Govi region,2014,137.8
Cattle,    Govi region,2013,116.1
Cattle,    Govi region,2012,94.2
Cattle,    Govi region,2011,79.7
Cattle,    Govi region,2010,70.3
Cattle,    Govi region,2009,90.2
Cattle,    Govi region,2008,84.7
Cattle,    Govi region,2007,87.6
Cattle,    Govi region,2006,81.0
Cattle,    Govi region,2005,101.6
Cattle,    Govi region,2004,103.3
Cattle,    Govi region,2003,90.7
Cattle,    Govi region,2002,79.2
Cattle,    Govi region,2001,88.6
Cattle,    Govi region,2000,167.1
Cattle,    Govi region,1999,285.1
Cattle,    Govi region,1998,286.1
Cattle,    Govi region,1997,270.6
Cattle,    Govi region,1996,250.8
Cattle,    Govi region,1995,228.1
Cattle,    Govi region,1994,197.5
Cattle,    Govi region,1993,183.6
Cattle,    Govi region,1992,201.2
Cattle,    Govi region,1991,202.8
Cattle,    Govi region,1990,195.5
Cattle,    Govi region,1989,192.4
Cattle,    Govi region,1988,177.7
Cattle,    Govi region,1987,178.3
Cattle,    Govi region,1986,179.2
Cattle,    Govi region,1985,177.6
Cattle,    Govi region,1984,174.1
Cattle,    Govi region,1983,169.3
Cattle,    Govi region,1982,164.9
Cattle,    Govi region,1981,153.2
Cattle,    Govi region,1980,176.9
Cattle,    Govi region,1979,189.9
Cattle,    Govi region,1978,188.0
Cattle,    Govi region,1977,178.4
Cattle,    Govi region,1976,174.1
Cattle,    Govi region,1975,167.1
Cattle,    Govi region,1974,155.2
Cattle,    Govi region,1973,134.0
Cattle,    Govi region,1972,127.2
Cattle,    Govi region,1971,118.2
Cattle,    Govi region,1970,121.9
Cattle,            Govisumber,2024,18.6
Cattle,            Govisumber,2023,22.3
Cattle,            Govisumber,2022,19.7
Cattle,            Govisumber,2021,17.8
Cattle,            Govisumber,2020,16.3
Cattle,            Govisumber,2019,14.5
Cattle,            Govisumber,2018,14.0
Cattle,            Govisumber,2017,14.9
Cattle,            Govisumber,2016,13.6
Cattle,            Govisumber,2015,12.4
Cattle,            Govisumber,2014,10.4
Cattle,            Govisumber,2013,7.7
Cattle,            Govisumber,2012,5.6
Cattle,            Govisumber,2011,4.3
Cattle,            Govisumber,2010,3.7
Cattle,            Govisumber,2009,3.4
Cattle,            Govisumber,2008,3.9
Cattle,            Govisumber,2007,5.0
Cattle,            Govisumber,2006,4.8
Cattle,            Govisumber,2005,4.5
Cattle,            Govisumber,2004,3.9
Cattle,            Govisumber,2003,3.3
Cattle,            Govisumber,2002,2.3
Cattle,            Govisumber,2001,1.9
Cattle,            Govisumber,2000,10.6
Cattle,            Govisumber,1999,15.2
Cattle,            Govisumber,1998,13.4
Cattle,            Govisumber,1997,11.9
Cattle,            Govisumber,1996,10.9
Cattle,            Govisumber,1995,10.1
Cattle,            Govisumber,1994,9.1
Cattle,            Govisumber,1993,8.5
Cattle,            Govisumber,1992,8.2
Cattle,            Govisumber,1991,7.5
Cattle,            Govisumber,1990,
Cattle,            Govisumber,1989,
Cattle,            Govisumber,1988,
Cattle,            Govisumber,1987,
Cattle,            Govisumber,1986,
Cattle,            Govisumber,1985,
Cattle,            Govisumber,1984,
Cattle,            Govisumber,1983,
Cattle,            Govisumber,1982,
Cattle,            Govisumber,1981,
Cattle,            Govisumber,1980,
Cattle,            Govisumber,1979,
Cattle,            Govisumber,1978,
Cattle,            Govisumber,1977,
Cattle,            Govisumber,1976,
Cattle,            Govisumber,1975,
Cattle,            Govisumber,1974,
Cattle,            Govisumber,1973,
Cattle,            Govisumber,1972,
Cattle,            Govisumber,1971,
Cattle,            Govisumber,1970,
Cattle,            Dornogovi,2024,71.7
Cattle,            Dornogovi,2023,108.1
Cattle,            Dornogovi,2022,131.5
Cattle,            Dornogovi,2021,118.1
Cattle,            Dornogovi,2020,103.7
Cattle,            Dornogovi,2019,91.9
Cattle,            Dornogovi,2018,80.6
Cattle,            Dornogovi,2017,72.6
Cattle,            Dornogovi,2016,63.0
Cattle,            Dornogovi,2015,69.9
Cattle,            Dornogovi,2014,65.4
Cattle,            Dornogovi,2013,59.4
Cattle,            Dornogovi,2012,50.3
Cattle,            Dornogovi,2011,45.7
Cattle,            Dornogovi,2010,40.5
Cattle,            Dornogovi,2009,40.0
Cattle,            Dornogovi,2008,34.3
Cattle,            Dornogovi,2007,30.0
Cattle,            Dornogovi,2006,27.2
Cattle,            Dornogovi,2005,44.7
Cattle,            Dornogovi,2004,49.9
Cattle,            Dornogovi,2003,44.7
Cattle,            Dornogovi,2002,37.4
Cattle,            Dornogovi,2001,44.5
Cattle,            Dornogovi,2000,89.4
Cattle,            Dornogovi,1999,103.7
Cattle,            Dornogovi,1998,93.7
Cattle,            Dornogovi,1997,93.1
Cattle,            Dornogovi,1996,91.1
Cattle,            Dornogovi,1995,85.0
Cattle,            Dornogovi,1994,75.9
Cattle,            Dornogovi,1993,69.9
Cattle,            Dornogovi,1992,74.2
Cattle,            Dornogovi,1991,73.4
Cattle,            Dornogovi,1990,77.0
Cattle,            Dornogovi,1989,80.0
Cattle,            Dornogovi,1988,74.2
Cattle,            Dornogovi,1987,76.2
Cattle,            Dornogovi,1986,77.7
Cattle,            Dornogovi,1985,79.0
Cattle,            Dornogovi,1984,77.2
Cattle,            Dornogovi,1983,75.2
Cattle,            Dornogovi,1982,73.9
Cattle,            Dornogovi,1981,70.0
Cattle,            Dornogovi,1980,72.5
Cattle,            Dornogovi,1979,73.6
Cattle,            Dornogovi,1978,72.5
Cattle,            Dornogovi,1977,69.1
Cattle,            Dornogovi,1976,67.8
Cattle,            Dornogovi,1975,67.1
Cattle,            Dornogovi,1974,64.3
Cattle,            Dornogovi,1973,55.8
Cattle,            Dornogovi,1972,49.7
Cattle,            Dornogovi,1971,46.1
Cattle,            Dornogovi,1970,41.1
Cattle,            Dundgovi,2024,92.4
Cattle,            Dundgovi,2023,85.5
Cattle,            Dundgovi,2022,74.5
Cattle,            Dundgovi,2021,65.7
Cattle,            Dundgovi,2020,75.1
Cattle,            Dundgovi,2019,78.2
Cattle,            Dundgovi,2018,76.1
Cattle,            Dundgovi,2017,75.3
Cattle,            Dundgovi,2016,62.7
Cattle,            Dundgovi,2015,54.9
Cattle,            Dundgovi,2014,45.9
Cattle,            Dundgovi,2013,35.6
Cattle,            Dundgovi,2012,27.6
Cattle,            Dundgovi,2011,21.0
Cattle,            Dundgovi,2010,18.6
Cattle,            Dundgovi,2009,33.8
Cattle,            Dundgovi,2008,34.2
Cattle,            Dundgovi,2007,42.6
Cattle,            Dundgovi,2006,40.3
Cattle,            Dundgovi,2005,43.8
Cattle,            Dundgovi,2004,42.1
Cattle,            Dundgovi,2003,36.9
Cattle,            Dundgovi,2002,32.7
Cattle,            Dundgovi,2001,30.1
Cattle,            Dundgovi,2000,43.3
Cattle,            Dundgovi,1999,126.6
Cattle,            Dundgovi,1998,137.4
Cattle,            Dundgovi,1997,127.9
Cattle,            Dundgovi,1996,116.0
Cattle,            Dundgovi,1995,103.6
Cattle,            Dundgovi,1994,88.2
Cattle,            Dundgovi,1993,84.1
Cattle,            Dundgovi,1992,95.0
Cattle,            Dundgovi,1991,96.9
Cattle,            Dundgovi,1990,93.8
Cattle,            Dundgovi,1989,87.1
Cattle,            Dundgovi,1988,79.7
Cattle,            Dundgovi,1987,79.7
Cattle,            Dundgovi,1986,79.6
Cattle,            Dundgovi,1985,76.1
Cattle,            Dundgovi,1984,75.1
Cattle,            Dundgovi,1983,73.9
Cattle,            Dundgovi,1982,68.8
Cattle,            Dundgovi,1981,62.2
Cattle,            Dundgovi,1980,84.7
Cattle,            Dundgovi,1979,95.9
Cattle,            Dundgovi,1978,95.7
Cattle,            Dundgovi,1977,91.4
Cattle,            Dundgovi,1976,89.7
Cattle,            Dundgovi,1975,85.3
Cattle,            Dundgovi,1974,78.3
Cattle,            Dundgovi,1973,67.4
Cattle,            Dundgovi,1972,61.8
Cattle,            Dundgovi,1971,55.8
Cattle,            Dundgovi,1970,64.3
Cattle,            Umnugovi,2024,25.2
Cattle,            Umnugovi,2023,27.6
Cattle,            Umnugovi,2022,34.8
Cattle,            Umnugovi,2021,31.3
Cattle,            Umnugovi,2020,33.2
Cattle,            Umnugovi,2019,31.7
Cattle,            Umnugovi,2018,26.9
Cattle,            Umnugovi,2017,27.0
Cattle,            Umnugovi,2016,22.1
Cattle,            Umnugovi,2015,18.7
Cattle,            Umnugovi,2014,16.1
Cattle,            Umnugovi,2013,13.4
Cattle,            Umnugovi,2012,10.8
Cattle,            Umnugovi,2011,8.7
Cattle,            Umnugovi,2010,7.5
Cattle,            Umnugovi,2009,13.1
Cattle,            Umnugovi,2008,12.4
Cattle,            Umnugovi,2007,10.1
Cattle,            Umnugovi,2006,8.7
Cattle,            Umnugovi,2005,8.6
Cattle,            Umnugovi,2004,7.4
Cattle,            Umnugovi,2003,5.9
Cattle,            Umnugovi,2002,6.9
Cattle,            Umnugovi,2001,12.1
Cattle,            Umnugovi,2000,23.8
Cattle,            Umnugovi,1999,39.6
Cattle,            Umnugovi,1998,41.6
Cattle,            Umnugovi,1997,37.8
Cattle,            Umnugovi,1996,32.7
Cattle,            Umnugovi,1995,29.4
Cattle,            Umnugovi,1994,24.2
Cattle,            Umnugovi,1993,21.1
Cattle,            Umnugovi,1992,23.9
Cattle,            Umnugovi,1991,25.0
Cattle,            Umnugovi,1990,24.6
Cattle,            Umnugovi,1989,25.3
Cattle,            Umnugovi,1988,23.8
Cattle,            Umnugovi,1987,22.5
Cattle,            Umnugovi,1986,21.9
Cattle,            Umnugovi,1985,22.5
Cattle,            Umnugovi,1984,21.8
Cattle,            Umnugovi,1983,20.2
Cattle,            Umnugovi,1982,22.3
Cattle,            Umnugovi,1981,21.0
Cattle,            Umnugovi,1980,19.7
Cattle,            Umnugovi,1979,20.3
Cattle,            Umnugovi,1978,19.8
Cattle,            Umnugovi,1977,17.9
Cattle,            Umnugovi,1976,16.6
Cattle,            Umnugovi,1975,14.7
Cattle,            Umnugovi,1974,12.7
Cattle,            Umnugovi,1973,10.8
Cattle,            Umnugovi,1972,15.7
Cattle,            Umnugovi,1971,16.2
Cattle,            Umnugovi,1970,16.5
Cattle,    Ulaanbaatar,2024,90.8
Cattle,    Ulaanbaatar,2023,86.9
Cattle,    Ulaanbaatar,2022,88.0
Cattle,    Ulaanbaatar,2021,84.5
Cattle,    Ulaanbaatar,2020,89.5
Cattle,    Ulaanbaatar,2019,85.7
Cattle,    Ulaanbaatar,2018,80.8
Cattle,    Ulaanbaatar,2017,88.8
Cattle,    Ulaanbaatar,2016,89.8
Cattle,    Ulaanbaatar,2015,86.0
Cattle,    Ulaanbaatar,2014,76.6
Cattle,    Ulaanbaatar,2013,64.6
Cattle,    Ulaanbaatar,2012,60.6
Cattle,    Ulaanbaatar,2011,56.9
Cattle,    Ulaanbaatar,2010,54.9
Cattle,    Ulaanbaatar,2009,59.5
Cattle,    Ulaanbaatar,2008,59.0
Cattle,    Ulaanbaatar,2007,58.2
Cattle,    Ulaanbaatar,2006,55.0
Cattle,    Ulaanbaatar,2005,50.0
Cattle,    Ulaanbaatar,2004,45.4
Cattle,    Ulaanbaatar,2003,44.8
Cattle,    Ulaanbaatar,2002,45.4
Cattle,    Ulaanbaatar,2001,44.8
Cattle,    Ulaanbaatar,2000,48.6
Cattle,    Ulaanbaatar,1999,52.6
Cattle,    Ulaanbaatar,1998,57.0
Cattle,    Ulaanbaatar,1997,59.5
Cattle,    Ulaanbaatar,1996,65.2
Cattle,    Ulaanbaatar,1995,64.3
Cattle,    Ulaanbaatar,1994,48.1
Cattle,    Ulaanbaatar,1993,53.0
Cattle,    Ulaanbaatar,1992,58.2
Cattle,    Ulaanbaatar,1991,51.8
Cattle,    Ulaanbaatar,1990,44.9
Cattle,    Ulaanbaatar,1989,42.7
Cattle,    Ulaanbaatar,1988,38.1
Cattle,    Ulaanbaatar,1987,36.9
Cattle,    Ulaanbaatar,1986,32.1
Cattle,    Ulaanbaatar,1985,32.1
Cattle,    Ulaanbaatar,1984,31.3
Cattle,    Ulaanbaatar,1983,30.6
Cattle,    Ulaanbaatar,1982,27.8
Cattle,    Ulaanbaatar,1981,26.3
Cattle,    Ulaanbaatar,1980,25.3
Cattle,    Ulaanbaatar,1979,13.7
Cattle,    Ulaanbaatar,1978,29.4
Cattle,    Ulaanbaatar,1977,27.6
Cattle,    Ulaanbaatar,1976,27.6
Cattle,    Ulaanbaatar,1975,27.7
Cattle,    Ulaanbaatar,1974,26.6
Cattle,    Ulaanbaatar,1973,23.8
Cattle,    Ulaanbaatar,1972,15.4
Cattle,    Ulaanbaatar,1971,15.6
Cattle,    Ulaanbaatar,1970,13.8
Cattle,            Ulaanbaatar,2024,90.8
Cattle,            Ulaanbaatar,2023,86.9
Cattle,            Ulaanbaatar,2022,88.0
Cattle,            Ulaanbaatar,2021,84.5
Cattle,            Ulaanbaatar,2020,89.5
Cattle,            Ulaanbaatar,2019,85.7
Cattle,            Ulaanbaatar,2018,80.8
Cattle,            Ulaanbaatar,2017,88.8
Cattle,            Ulaanbaatar,2016,89.8
Cattle,            Ulaanbaatar,2015,86.0
Cattle,            Ulaanbaatar,2014,76.6
Cattle,            Ulaanbaatar,2013,64.6
Cattle,            Ulaanbaatar,2012,60.6
Cattle,            Ulaanbaatar,2011,56.9
Cattle,            Ulaanbaatar,2010,54.9
Cattle,            Ulaanbaatar,2009,59.5
Cattle,            Ulaanbaatar,2008,59.0
Cattle,            Ulaanbaatar,2007,58.2
Cattle,            Ulaanbaatar,2006,55.0
Cattle,            Ulaanbaatar,2005,50.0
Cattle,            Ulaanbaatar,2004,45.4
Cattle,            Ulaanbaatar,2003,44.8
Cattle,            Ulaanbaatar,2002,45.4
Cattle,            Ulaanbaatar,2001,44.8
Cattle,            Ulaanbaatar,2000,48.6
Cattle,            Ulaanbaatar,1999,52.6
Cattle,            Ulaanbaatar,1998,57.0
Cattle,            Ulaanbaatar,1997,59.5
Cattle,            Ulaanbaatar,1996,65.2
Cattle,            Ulaanbaatar,1995,64.3
Cattle,            Ulaanbaatar,1994,48.1
Cattle,            Ulaanbaatar,1993,53.0
Cattle,            Ulaanbaatar,1992,58.2
Cattle,            Ulaanbaatar,1991,51.8
Cattle,            Ulaanbaatar,1990,44.9
Cattle,            Ulaanbaatar,1989,42.7
Cattle,            Ulaanbaatar,1988,38.1
Cattle,            Ulaanbaatar,1987,36.9
Cattle,            Ulaanbaatar,1986,32.1
Cattle,            Ulaanbaatar,1985,32.1
Cattle,            Ulaanbaatar,1984,31.3
Cattle,            Ulaanbaatar,1983,30.6
