Type of livestock,Region,Year,value
Total,    Western region,2004,8524.7
Total,    Western region,2003,7410.8
Total,    Western region,2002,6482.2
Total,    Western region,2001,7587.3
Total,    Western region,2000,8702.4
Total,    Western region,1999,9665.4
Total,    Western region,1998,9798.7
Total,    Western region,1997,9971.2
Total,    Western region,1996,9687.4
Total,    Western region,1995,9683.0
Total,    Western region,1994,8989.7
Total,    Western region,1993,8227.6
Total,    Western region,1992,8178.9
Total,    Western region,1991,8158.2
Total,    Western region,1990,8499.7
Total,    Western region,1989,8159.2
Total,    Western region,1988,7801.2
Total,    Western region,1987,7659.1
Total,    Western region,1986,7448.7
Total,    Western region,1985,7319.6
Total,    Western region,1984,6946.0
Total,    Western region,1983,7350.6
Total,    Western region,1982,7657.0
Total,    Western region,1981,7571.3
Total,    Western region,1980,7584.6
Total,    Western region,1979,7546.6
Total,    Western region,1978,7413.0
Total,    Western region,1977,7169.7
Total,    Western region,1976,7510.5
Total,    Western region,1975,7630.7
Total,    Western region,1974,7760.0
Total,    Western region,1973,7856.8
Total,    Western region,1972,7600.5
Total,    Western region,1971,7570.7
Total,    Western region,1970,7246.5
Total,            Bayan-Ulgii,2024,2125.1
Total,            Bayan-Ulgii,2023,2046.1
Total,            Bayan-Ulgii,2022,2255.8
Total,            Bayan-Ulgii,2021,2379.0
Total,            Bayan-Ulgii,2020,2224.7
Total,            Bayan-Ulgii,2019,2192.8
Total,            Bayan-Ulgii,2018,2166.9
Total,            Bayan-Ulgii,2017,2226.1
Total,            Bayan-Ulgii,2016,2167.4
Total,            Bayan-Ulgii,2015,2021.0
Total,            Bayan-Ulgii,2014,1883.6
Total,            Bayan-Ulgii,2013,1604.1
Total,            Bayan-Ulgii,2012,1410.6
Total,            Bayan-Ulgii,2011,1302.8
Total,            Bayan-Ulgii,2010,1126.9
Total,            Bayan-Ulgii,2009,1301.5
Total,            Bayan-Ulgii,2008,1529.6
Total,            Bayan-Ulgii,2007,1597.3
Total,            Bayan-Ulgii,2006,1470.3
Total,            Bayan-Ulgii,2005,1320.5
Total,            Bayan-Ulgii,2004,1346.7
Total,            Bayan-Ulgii,2003,1315.6
Total,            Bayan-Ulgii,2002,1234.2
Total,            Bayan-Ulgii,2001,1297.8
Total,            Bayan-Ulgii,2000,1310.4
Total,            Bayan-Ulgii,1999,1362.4
Total,            Bayan-Ulgii,1998,1346.0
Total,            Bayan-Ulgii,1997,1519.4
Total,            Bayan-Ulgii,1996,1405.8
Total,            Bayan-Ulgii,1995,1354.2
Total,            Bayan-Ulgii,1994,1156.6
Total,            Bayan-Ulgii,1993,1005.4
Total,            Bayan-Ulgii,1992,1033.5
Total,            Bayan-Ulgii,1991,1159.9
Total,            Bayan-Ulgii,1990,1318.4
Total,            Bayan-Ulgii,1989,1284.0
Total,            Bayan-Ulgii,1988,1235.4
Total,            Bayan-Ulgii,1987,1241.2
Total,            Bayan-Ulgii,1986,1236.0
Total,            Bayan-Ulgii,1985,1198.6
Total,            Bayan-Ulgii,1984,1161.4
Total,            Bayan-Ulgii,1983,1137.9
Total,            Bayan-Ulgii,1982,1171.1
Total,            Bayan-Ulgii,1981,1135.2
Total,            Bayan-Ulgii,1980,1105.8
Total,            Bayan-Ulgii,1979,1078.7
Total,            Bayan-Ulgii,1978,1019.4
Total,            Bayan-Ulgii,1977,1025.2
Total,            Bayan-Ulgii,1976,1101.8
Total,            Bayan-Ulgii,1975,1092.5
Total,            Bayan-Ulgii,1974,1155.0
Total,            Bayan-Ulgii,1973,1178.4
Total,            Bayan-Ulgii,1972,1107.4
Total,            Bayan-Ulgii,1971,1106.4
Total,            Bayan-Ulgii,1970,1073.9
Total,            Govi-Altai,2024,3095.3
Total,            Govi-Altai,2023,3013.2
Total,            Govi-Altai,2022,3167.5
Total,            Govi-Altai,2021,2990.5
Total,            Govi-Altai,2020,3310.8
Total,            Govi-Altai,2019,3597.7
Total,            Govi-Altai,2018,3513.4
Total,            Govi-Altai,2017,3801.7
Total,            Govi-Altai,2016,3497.5
Total,            Govi-Altai,2015,2922.6
Total,            Govi-Altai,2014,2578.1
Total,            Govi-Altai,2013,2223.2
Total,            Govi-Altai,2012,1911.0
Total,            Govi-Altai,2011,1613.3
Total,            Govi-Altai,2010,1315.5
Total,            Govi-Altai,2009,2171.8
Total,            Govi-Altai,2008,2505.9
Total,            Govi-Altai,2007,2486.6
Total,            Govi-Altai,2006,2199.2
Total,            Govi-Altai,2005,1834.2
Total,            Govi-Altai,2004,1539.6
Total,            Govi-Altai,2003,1261.2
Total,            Govi-Altai,2002,1010.5
Total,            Govi-Altai,2001,1714.7
Total,            Govi-Altai,2000,2035.1
Total,            Govi-Altai,1999,2113.2
Total,            Govi-Altai,1998,2113.1
Total,            Govi-Altai,1997,2112.5
Total,            Govi-Altai,1996,2087.2
Total,            Govi-Altai,1995,2102.5
Total,            Govi-Altai,1994,1973.4
Total,            Govi-Altai,1993,1766.9
Total,            Govi-Altai,1992,1775.3
Total,            Govi-Altai,1991,1696.6
Total,            Govi-Altai,1990,1693.6
Total,            Govi-Altai,1989,1636.0
Total,            Govi-Altai,1988,1561.6
Total,            Govi-Altai,1987,1543.8
Total,            Govi-Altai,1986,1477.7
Total,            Govi-Altai,1985,1458.4
Total,            Govi-Altai,1984,1321.3
Total,            Govi-Altai,1983,1500.3
Total,            Govi-Altai,1982,1549.7
Total,            Govi-Altai,1981,1571.9
Total,            Govi-Altai,1980,1582.0
Total,            Govi-Altai,1979,1579.8
Total,            Govi-Altai,1978,1590.2
Total,            Govi-Altai,1977,1564.2
Total,            Govi-Altai,1976,1524.0
Total,            Govi-Altai,1975,1497.8
Total,            Govi-Altai,1974,1451.6
Total,            Govi-Altai,1973,1453.6
Total,            Govi-Altai,1972,1395.3
Total,            Govi-Altai,1971,1414.9
Total,            Govi-Altai,1970,1342.5
Total,            Zavkhan,2024,3008.2
Total,            Zavkhan,2023,3067.6
Total,            Zavkhan,2022,3721.1
Total,            Zavkhan,2021,3755.2
Total,            Zavkhan,2020,3607.8
Total,            Zavkhan,2019,3849.9
Total,            Zavkhan,2018,3555.4
Total,            Zavkhan,2017,3597.3
Total,            Zavkhan,2016,3406.2
Total,            Zavkhan,2015,3133.0
Total,            Zavkhan,2014,2895.9
Total,            Zavkhan,2013,2539.0
Total,            Zavkhan,2012,2280.0
Total,            Zavkhan,2011,2006.1
Total,            Zavkhan,2010,1717.7
Total,            Zavkhan,2009,2827.6
Total,            Zavkhan,2008,3136.0
Total,            Zavkhan,2007,3000.0
Total,            Zavkhan,2006,2550.8
Total,            Zavkhan,2005,2102.2
Total,            Zavkhan,2004,1901.8
Total,            Zavkhan,2003,1628.6
Total,            Zavkhan,2002,1443.2
Total,            Zavkhan,2001,1486.7
Total,            Zavkhan,2000,1941.3
Total,            Zavkhan,1999,2432.0
Total,            Zavkhan,1998,2603.6
Total,            Zavkhan,1997,2556.5
Total,            Zavkhan,1996,2474.5
Total,            Zavkhan,1995,2401.4
Total,            Zavkhan,1994,2246.8
Total,            Zavkhan,1993,2003.8
Total,            Zavkhan,1992,2085.0
Total,            Zavkhan,1991,2079.9
Total,            Zavkhan,1990,2133.4
Total,            Zavkhan,1989,1987.3
Total,            Zavkhan,1988,1834.6
Total,            Zavkhan,1987,1804.2
Total,            Zavkhan,1986,1744.6
Total,            Zavkhan,1985,1703.9
Total,            Zavkhan,1984,1690.8
Total,            Zavkhan,1983,1795.6
Total,            Zavkhan,1982,1864.1
Total,            Zavkhan,1981,1777.7
Total,            Zavkhan,1980,1875.9
Total,            Zavkhan,1979,1842.2
Total,            Zavkhan,1978,1832.0
Total,            Zavkhan,1977,1713.0
Total,            Zavkhan,1976,1867.6
Total,            Zavkhan,1975,1837.5
Total,            Zavkhan,1974,1786.9
Total,            Zavkhan,1973,1811.2
Total,            Zavkhan,1972,1821.7
Total,            Zavkhan,1971,1781.6
Total,            Zavkhan,1970,1686.6
Total,            Uvs,2024,2935.5
Total,            Uvs,2023,2994.5
Total,            Uvs,2022,3513.8
Total,            Uvs,2021,3726.4
Total,            Uvs,2020,3409.3
Total,            Uvs,2019,3279.6
Total,            Uvs,2018,3175.3
Total,            Uvs,2017,3129.9
Total,            Uvs,2016,2784.1
Total,            Uvs,2015,2729.1
Total,            Uvs,2014,2561.3
Total,            Uvs,2013,2225.1
Total,            Uvs,2012,2030.7
Total,            Uvs,2011,1831.8
Total,            Uvs,2010,1619.3
Total,            Uvs,2009,2319.1
Total,            Uvs,2008,2499.3
Total,            Uvs,2007,2653.5
Total,            Uvs,2006,2400.9
Total,            Uvs,2005,2021.3
Total,            Uvs,2004,1948.3
Total,            Uvs,2003,1664.4
Total,            Uvs,2002,1470.4
Total,            Uvs,2001,1575.6
Total,            Uvs,2000,1579.3
Total,            Uvs,1999,1889.8
Total,            Uvs,1998,1940.1
Total,            Uvs,1997,1856.3
Total,            Uvs,1996,1764.9
Total,            Uvs,1995,1754.2
Total,            Uvs,1994,1707.9
Total,            Uvs,1993,1628.5
Total,            Uvs,1992,1596.6
Total,            Uvs,1991,1585.3
Total,            Uvs,1990,1666.7
Total,            Uvs,1989,1614.1
Total,            Uvs,1988,1561.6
Total,            Uvs,1987,1515.7
Total,            Uvs,1986,1488.8
Total,            Uvs,1985,1470.1
Total,            Uvs,1984,1420.8
Total,            Uvs,1983,1417.9
Total,            Uvs,1982,1494.8
Total,            Uvs,1981,1445.1
Total,            Uvs,1980,1481.3
Total,            Uvs,1979,1486.8
Total,            Uvs,1978,1427.5
Total,            Uvs,1977,1394.4
Total,            Uvs,1976,1415.7
Total,            Uvs,1975,1610.0
Total,            Uvs,1974,1714.6
Total,            Uvs,1973,1737.8
Total,            Uvs,1972,1697.7
Total,            Uvs,1971,1711.7
Total,            Uvs,1970,1679.8
Total,            Khovd,2024,3491.1
Total,            Khovd,2023,3194.9
Total,            Khovd,2022,3472.9
Total,            Khovd,2021,3597.0
Total,            Khovd,2020,3292.6
Total,            Khovd,2019,3084.3
Total,            Khovd,2018,3146.4
Total,            Khovd,2017,3446.6
Total,            Khovd,2016,3280.6
Total,            Khovd,2015,2905.4
Total,            Khovd,2014,2625.6
Total,            Khovd,2013,2241.3
Total,            Khovd,2012,2038.5
Total,            Khovd,2011,1771.3
Total,            Khovd,2010,1639.1
Total,            Khovd,2009,2268.4
Total,            Khovd,2008,2486.7
Total,            Khovd,2007,2564.4
Total,            Khovd,2006,2293.8
Total,            Khovd,2005,1963.7
Total,            Khovd,2004,1788.5
Total,            Khovd,2003,1541.0
Total,            Khovd,2002,1323.9
Total,            Khovd,2001,1512.4
Total,            Khovd,2000,1836.3
Total,            Khovd,1999,1867.9
Total,            Khovd,1998,1795.9
Total,            Khovd,1997,1926.5
Total,            Khovd,1996,1954.9
Total,            Khovd,1995,2070.6
Total,            Khovd,1994,1905.0
Total,            Khovd,1993,1823.0
Total,            Khovd,1992,1688.6
Total,            Khovd,1991,1636.6
Total,            Khovd,1990,1687.7
Total,            Khovd,1989,1637.7
Total,            Khovd,1988,1608.1
Total,            Khovd,1987,1554.2
Total,            Khovd,1986,1501.7
Total,            Khovd,1985,1488.6
Total,            Khovd,1984,1351.7
Total,            Khovd,1983,1499.0
Total,            Khovd,1982,1577.3
Total,            Khovd,1981,1641.3
Total,            Khovd,1980,1539.6
Total,            Khovd,1979,1559.2
Total,            Khovd,1978,1543.9
Total,            Khovd,1977,1472.8
Total,            Khovd,1976,1601.4
Total,            Khovd,1975,1592.9
Total,            Khovd,1974,1652.0
Total,            Khovd,1973,1675.9
Total,            Khovd,1972,1578.4
Total,            Khovd,1971,1556.1
Total,            Khovd,1970,1463.7
Total,    Northern region,2024,8377.8
Total,    Northern region,2023,9460.2
Total,    Northern region,2022,10316.9
Total,    Northern region,2021,9720.1
Total,    Northern region,2020,9033.5
Total,    Northern region,2019,9809.1
Total,    Northern region,2018,9130.2
Total,    Northern region,2017,8781.8
Total,    Northern region,2016,8709.2
Total,    Northern region,2015,7741.6
Total,    Northern region,2014,7413.2
Total,    Northern region,2013,6545.3
Total,    Northern region,2012,6364.8
Total,    Northern region,2011,5824.7
Total,    Northern region,2010,5563.8
Total,    Northern region,2009,6792.3
Total,    Northern region,2008,6498.7
Total,    Northern region,2007,5643.5
Total,    Northern region,2006,4820.4
Total,    Northern region,2005,4040.9
Total,    Northern region,2004,3623.6
Total,    Northern region,2003,3276.2
Total,    Northern region,2002,3448.2
Total,    Northern region,2001,3396.5
Total,    Northern region,2000,3960.9
Total,    Northern region,1999,4191.4
Total,    Northern region,1998,3887.0
Total,    Northern region,1997,3582.5
Total,    Northern region,1996,3302.6
Total,    Northern region,1995,3121.7
Total,    Northern region,1994,2977.8
Total,    Northern region,1993,2822.1
Total,    Northern region,1992,2905.7
Total,    Northern region,1991,2882.4
Total,    Northern region,1990,2923.6
